"laptop_ID","Company","Product","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price_euros"
771,"Google","Pixelbook (Core","Ultrabook","12.3","Touchscreen 2400x1600","Intel Core i5 7Y57 1.2GHz","8GB","256GB SSD","Intel HD Graphics 615","Chrome OS","1.1kg",1559
507,"Asus","VivoBook E201NA","Netbook","11.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","64GB Flash Storage","Intel HD Graphics 500","Windows 10 S","1.2kg",340
1052,"Dell","Latitude E5570","Notebook","15.6","Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","2.09kg",1062.95
1086,"HP","ProBook 650","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.31kg",1199
920,"Lenovo","IdeaPad Y700-15ISK","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows 10","2.6kg",789
1302,"Lenovo","Yoga 500-14ISK","2 in 1 Convertible","14.0","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.8kg",638
270,"Dell","Inspiron 5579","2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","2.67kg",799
1126,"Dell","Vostro 3559","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","AMD Radeon R5 M315","Windows 7","2.24kg",769.15
917,"LG","Gram 15Z970","Ultrabook","15.6","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.08kg",2099
382,"Lenovo","Yoga 11e","Netbook","11.6","IPS Panel 1366x768","Intel Celeron Quad Core N3450 1.1GHz","4GB","128GB SSD","Intel HD Graphics 500","Windows 10","1.59kg",553
91,"Dell","XPS 13","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.21kg",1649
529,"Dell","Latitude 5480","Notebook","14.0","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.64kg",1279.73
1138,"Dell","Latitude E5570","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Linux","2.09kg",523.63
228,"HP","ProBook 450","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows 10","2.1kg",794
951,"MSI","GP62M Leopard","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",1199
979,"Dell","Inspiron 3567","Notebook","15.6","1366x768","Intel Core i3 6006U 2.0GHz","4GB","1TB HDD","AMD Radeon R5 M430","Linux","2.25kg",465.62
372,"Dell","Inspiron 5770","Notebook","17.3","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.8kg",1085
603,"Lenovo","ThinkPad Yoga","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.37kg",2025
441,"Lenovo","Thinkpad P51","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz","16GB","512GB SSD","Nvidia Quadro M2200M","Windows 10","2.5kg",2449
960,"Dell","Latitude 7280","Ultrabook","12.5","Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics","Windows 10","1.36kg",1472.2
527,"Lenovo","Legion Y720-15IKB","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","3.2kg",1399
405,"Dell","Precision M5520","Workstation","15.6","4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows 10","1.78kg",2712
6,"Acer","Aspire 3","Notebook","15.6","1366x768","AMD A9-Series 9420 3GHz","4GB","500GB HDD","AMD Radeon R5","Windows 10","2.1kg",400
819,"HP","Omen 17-an012dx","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","1TB HDD","AMD Radeon RX 580","Windows 10","3.74kg",1749
58,"Asus","VivoBook Max","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","2kg",586.19
1234,"Acer","E5 774G","Notebook","17.3","1600x900","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Nvidia GeForce 940MX","Windows 10","3.3kg",598
359,"HP","Zbook 15","Workstation","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows 10","2.6kg",1738.27
1272,"Dell","Inspiron 3552","Notebook","15.6","1366x768","Intel Pentium Quad Core N3700 1.6GHz","4GB","500GB HDD","Intel HD Graphics","Windows 10","2.2kg",443.99
1170,"Lenovo","B51-80 (i5-6200U/8GB/1TB/Radeon","Notebook","15.6","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","1TB HDD","AMD Radeon R5 M330","No OS","2.32kg",599
587,"Mediacom","SmartBook Edge","Notebook","14.0","IPS Panel Full HD 1920x1080","Intel Celeron Quad Core N3450 1.1GHz","4GB","32GB SSD","Intel HD Graphics 500","Windows 10","1.45kg",389
283,"Lenovo","IdeaPad 320-17ISK","Notebook","17.3","1600x900","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.8kg",489
1108,"Dell","Inspiron 5370","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","AMD Radeon 530","Windows 10","1.4kg",818.35
686,"LG","Gram 15Z975","Ultrabook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.09kg",2299
922,"LG","Gram 14Z970","Ultrabook","14.0","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","0.98kg",1899
157,"HP","EliteBook 840","Ultrabook","14.0","Full HD 1920x1080","Intel Core i5 7500U 2.7GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.48kg",1082
1194,"Lenovo","B51-80 (i7-6500U/4GB/1008GB/FHD/W7)","Notebook","15.6","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","4GB","1.0TB Hybrid","Intel HD Graphics 520","Windows 7","2.32kg",825
77,"Asus","FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",949
901,"HP","Probook 640","Notebook","14.0","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.95kg",1265
1153,"Dell","Inspiron 5567","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Windows 10","2.5kg",784
634,"Lenovo","IdeaPad 320-15IKBN","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","No OS","2.2kg",468
147,"HP","255 G6","Notebook","15.6","1366x768","AMD A6-Series 9220 2.5GHz","4GB","256GB SSD","AMD Radeon R4 Graphics","Windows 10","1.86kg",369
258,"Lenovo","Yoga 920-13IKB","2 in 1 Convertible","13.9","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.37kg",1849
640,"Lenovo","V330-15IKB (i5-8250U/4GB/256GB/FHD/W10)","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.8kg",829
675,"HP","15-bs012nv (i7-7500U/8GB/1TB/Radeon","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","AMD Radeon 530","Windows 10","2.1kg",745
956,"Acer","TravelMate P259-G2","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows 10","2.23kg",619
1295,"Acer","Aspire ES1-531","Notebook","15.6","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","500GB HDD","Intel HD Graphics 400","Linux","2.4kg",289
723,"Lenovo","Thinkpad E470","Notebook","14.0","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 920MX","Windows 10","1.87kg",857.07
1093,"Lenovo","V110-15ISK (i5-6200U/4GB/500GB/W10)","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.1kg",540
1289,"Lenovo","Yoga 900-13ISK","2 in 1 Convertible","13.3","IPS Panel Quad HD+ / Touchscreen 3200x1800","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.3kg",1499
1130,"Dell","XPS 13","Ultrabook","13.3","Full HD 1920x1080","Intel Core i7 7560U 2.4GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","Windows 10","1.23kg",1379
864,"Lenovo","ThinkPad T470p","Ultrabook","14.0","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GT 940MX","Windows 10","1.96kg",1903
842,"Lenovo","Thinkpad T460","Notebook","14.0","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.7kg",1186
294,"Lenovo","IdeaPad 320-15IKB","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce 940MX","No OS","2.2kg",659.01
315,"Lenovo","IdeaPad 720S-13IKB","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.1kg",999
89,"HP","250 G6","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.96kg",598.99
7,"Apple","MacBook Pro","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","Intel Core i7 2.2GHz","16GB","256GB Flash Storage","Intel Iris Pro Graphics","Mac OS X","2.04kg",2139.97
636,"Dell","XPS 15","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2kg",1820
872,"HP","EliteBook 850","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","AMD Radeon R7 M465","Windows 10","1.84kg",1349
633,"Mediacom","SmartBook 140","Notebook","14.0","Full HD 1920x1080","Intel Atom x5-Z8350 1.44GHz","2GB","32GB Flash Storage","Intel HD Graphics","Windows 10","1.4kg",239
870,"Lenovo","IdeaPad 110-15ISK","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2.0GHz","4GB","1TB HDD","Intel HD Graphics 520","No OS","2.2kg",469
1009,"Asus","ZenBook UX310UA-FB485T","Notebook","13.3","Quad HD+ 3200x1800","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.4kg",1150
580,"Lenovo","Thinkpad E570","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.3kg",830
1034,"Dell","Inspiron 5568","2 in 1 Convertible","15.6","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 6100U 2.3GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.08kg",795.99
585,"MSI","GT73VR Titan","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7820HK 2.9GHz","16GB","512GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.14kg",2729
429,"HP","ProBook 650","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz","8GB","256GB SSD","Intel HD Graphics 630","Windows 10","2.31kg",1427
325,"HP","Elitebook 840","Notebook","14.0","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.48kg",1292
608,"HP","ProBook 450","Notebook","15.6","1366x768","Intel Core i3 7100U 2.4GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows 10","2.1kg",668.48
862,"Asus","Rog GL502VM-DS74","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.1kg",1899
457,"HP","15-bs024nv (i5-7200U/8GB/128GB/W10)","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.91kg",589
989,"HP","Probook 450","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.70GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 930MX","Windows 10","2.04kg",979
34,"Dell","XPS 13","Ultrabook","13.3","Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.2kg",1869
194,"Lenovo","Thinkpad Yoga","2 in 1 Convertible","14.0","Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz","16GB","1TB SSD","Intel HD Graphics 620","Windows 10","1.42kg",2824
949,"HP","EliteBook 820","Netbook","12.5","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.26kg",1669
1059,"HP","EliteBook 850","Notebook","15.6","Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD +  500GB HDD","Intel HD Graphics 520","Windows 10","1.84kg",2103.34
1276,"Lenovo","B51-80 (i7-6500U/8GB/1008GB/Radeon","Notebook","15.6","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","1.0TB Hybrid","AMD Radeon R5 M330","Windows 7","2.32kg",895
628,"Lenovo","ThinkPad T470","Notebook","14.0","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.65kg",1465
1155,"HP","EliteBook 850","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.88kg",2171.72
371,"HP","15-AY023na (N3710/8GB/2TB/W10)","Notebook","15.6","1366x768","Intel Pentium Quad Core N3710 1.6GHz","8GB","2TB HDD","Intel HD Graphics 405","Windows 10","2.04kg",389
590,"Dell","Latitude 5580","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7600U 2.8GHz","16GB","256GB SSD","Nvidia GeForce 930MX","Windows 10","1.93kg",1537.39
877,"Toshiba","Portg Z30-C-188","Ultrabook","13.3","1366x768","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.2kg",1095
555,"HP","250 G6","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","1.86kg",397
337,"Toshiba","Satellite Pro","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.0kg",943
495,"Lenovo","Thinkpad X270","Ultrabook","12.5","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",1798
557,"Lenovo","IdeaPad 320-15ISK","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","2.2kg",499
169,"MSI","GE63VR 7RE","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.4kg",1799
95,"Dell","Inspiron 7577","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1060","Windows 10","2.65kg",1195
741,"Acer","Extensa EX2540-58KR","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows 10","2.4kg",559
892,"HP","Pavilion x360","2 in 1 Convertible","15.6","Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows 10","2.3kg",684.8
409,"Lenovo","ThinkPad E580","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 550","Windows 10","2.1kg",1144.5
948,"Toshiba","Tecra Z40-C-12X","Notebook","14.0","IPS Panel Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.47kg",1105
321,"HP","Spectre x360","2 in 1 Convertible","13.3","IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz","16GB","1TB SSD","Intel UHD Graphics 620","Windows 10","1.29kg",2449
1015,"HP","ENVY -","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.34kg",1189
213,"Lenovo","IdeaPad 320-15IKBN","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.2kg",597
530,"HP","ProBook 440","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.63kg",689
511,"Lenovo","Chromebook N23","Netbook","11.6","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","16GB SSD","Intel HD Graphics 400","Chrome OS","1.25kg",265
811,"Dell","XPS 13","Ultrabook","13.3","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.29kg",1499
875,"Dell","XPS 13","Ultrabook","13.3","Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7660U 2.5GHz","16GB","512GB SSD","Intel Iris Plus Graphics 640","Windows 10","1.29kg",2240
627,"HP","ProBook 650","Notebook","14.0","1366x768","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.31kg",1124
1174,"MSI","GP72M 7REX","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",1492.8
460,"Lenovo","ThinkPad T470","Notebook","14.0","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.65kg",1345
1065,"HP","Noteb Pav","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Windows 10","1.91kg",979
652,"Acer","Extensa EX2540","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.4kg",450
164,"Asus","X555BP-XX180T (A9-9420/4GB/1TB/Radeon","Notebook","15.6","1366x768","AMD A9-Series 9420 3GHz","4GB","1TB HDD","AMD Radeon R5 M420","Windows 10","2.03kg",403
348,"HP","ProBook 450","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 930MX ","Windows 10","2.1kg",716
9,"Asus","ZenBook UX430UN","Ultrabook","14.0","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Nvidia GeForce MX150","Windows 10","1.3kg",1495
868,"HP","EliteBook x360","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","Intel Core i7 7600U 2.8GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.28kg",2559
386,"HP","Omen 17-w212nv","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","3.35kg",1191
897,"Dell","Vostro 3568","Notebook","15.6","1366x768","Intel Core i3 6006U 2.0GHz","4GB","1TB HDD","AMD Radeon R5 M420X","Linux","2.18kg",455.7
1,"Apple","MacBook Pro","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","128GB SSD","Intel Iris Plus Graphics 640","macOS","1.37kg",1339.69
72,"Microsoft","Surface Laptop","Ultrabook","13.5","Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10 S","1.252kg",1089
73,"Dell","Inspiron 5370","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","1.4kg",955
452,"Dell","Latitude 5480","Notebook","14.0","Full HD 1920x1080","Intel Core i5 7440HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows 10","1.64kg",1179
588,"Dell","Latitude 5580","Notebook","15.6","1366x768","Intel Core i5 7300U 2.6GHz","8GB","500GB HDD","Intel HD Graphics 620","Windows 10","1.9kg",1008.52
1237,"Acer","SP714-51 (i7-7Y75/8GB/256GB/FHD/W10)","2 in 1 Convertible","14.0","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7Y75 1.3GHz","8GB","256GB SSD","Intel HD Graphics 615","Windows 10","1.2kg",1149
1187,"MSI","PL60 7RD","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",839
1270,"Lenovo","IdeaPad 310-15ISK","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6100U 2.3GHz","6GB","128GB SSD","Nvidia GeForce 920MX","Windows 10","2.4kg",569
54,"HP","ProBook 430","Notebook","13.3","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.49kg",1103
802,"Lenovo","Yoga 510-15IKB","2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","AMD Radeon R7 M460","Windows 10","2.08kg",959
1045,"Acer","Aspire 3","Notebook","15.6","1366x768","AMD A9-Series 9420 3GHz","6GB","1TB HDD","AMD Radeon R5","Windows 10","2.1kg",409
830,"Toshiba","Tecra X40-D-10Z","Ultrabook","14.0","1366x768","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.25kg",1090
498,"Toshiba","Portege X30-D-10L","Ultrabook","13.3","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","32GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.05kg",2799
908,"Dell","Inspiron 7567","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050Ti","Linux","2.62kg",929
339,"Lenovo","V310-15ISK (i3-6006U/4GB/1TB/FHD/W10)","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","1.85kg",449
1028,"HP","Probook 430","Notebook","13.3","1366x768","Intel Core i3 7100U 2.4GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows 10","1.49kg",800
353,"Dell","Latitude 5590","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 8650U 1.9GHz","16GB","512GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows 10","1.88kg",1607.96
609,"Acer","Aspire 1","Notebook","14.0","Full HD 1920x1080","Intel Celeron Quad Core N3450 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.6kg",329
1229,"Asus","FX502VM-AS73 (i7-7700HQ/16GB/1TB","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.2kg",1749
